index,Company,Capacity,Mass,Cost,Height,Min_Temp,Max_Temp
1,AMUN,20,200,9300,20,-40,85
2,Solo PM4,50,350,15000,50,-40,80
3,ICEPS2,58,184,7300,26.5,-40,80
4,AAC,20,310,6700,21,-40,85
5,CrystalSpace P1U,14,130,7000,12,-40,85
