Number,Company,Data Rate,Power,Mass,Height,Cost
1,Isispace,9.6,0.48,75,15,3200
2,Endurosat,19.2,0.1,94,10,4600
3,Murgas,38.4,0.132,25,7,6000
4,Spacecom,2000,4.5,190,25,15000
5,Oresat,100,2,100,12,7400
