index,Company,Pointing_Accuracy,Power,Mass,Height,Cost,Min_Temp,Max_Temp
1,CubeADCS 3-Axis Small,0.2,2,500,57,43500,-10,60
2,iADCS200,0.3,1.4,400,32,50000,-20,40
3,iADCS400,0.02,2,1150,67,100000,-20,40
4,ARCUS_ADCS,0.11,1.2,715,50,60000,-20,60
5,Tensor_Tech_ADCS-MTQ,9,0.8,140,20,6900,-20,50
